"player_name"	"plate_x"	"plate_z"	"pitch_type"	"events"	"description"	"launch_angle"	"launch_speed"	"hc_x"	"hc_y"	"balls"	"strikes"	"type"	"game_year"	"stand"	"woba_value"	"p_throws"	"estimated_ba_using_speedangle"	"estimated_woba_using_speedangle"
"Matt Chapman"	0.387	2.6654	"SL"	NA	"foul"	43	68.2	NA	NA	1	0	"S"	2019	"R"	NA	"R"	NA	NA
"Matt Chapman"	-0.2152	1.1585	"SL"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"R"	NA	NA
"Miguel Cabrera"	-1.7645	3.9617	"FT"	"hit_by_pitch"	"hit_by_pitch"	-12	65.2	NA	NA	0	1	"B"	2019	"R"	0.7	"R"	NA	NA
"Miguel Cabrera"	-0.6084	2.1717	"CH"	NA	"foul"	-19	87.2	NA	NA	0	0	"S"	2019	"R"	NA	"R"	NA	NA
"Manny Machado"	0.9331	3.1799	"SL"	"strikeout"	"swinging_strike"	NA	NA	NA	NA	1	2	"S"	2019	"R"	0	"R"	NA	NA
"Manny Machado"	1.3511	2.3818	"SL"	NA	"foul"	72	57.5	NA	NA	1	2	"S"	2019	"R"	NA	"R"	NA	NA
"Manny Machado"	-0.2951	3.2545	"SL"	NA	"swinging_strike"	NA	NA	NA	NA	1	1	"S"	2019	"R"	NA	"R"	NA	NA
"Manny Machado"	1.2659	3.1636	"FF"	NA	"ball"	NA	NA	NA	NA	0	1	"B"	2019	"R"	NA	"R"	NA	NA
"Manny Machado"	0.8935	3.0047	"SL"	NA	"swinging_strike"	NA	NA	NA	NA	0	0	"S"	2019	"R"	NA	"R"	NA	NA
"Hunter Dozier"	-0.0883	1.9656	"SI"	"field_out"	"hit_into_play"	-21	82.9	96.61	165.94	3	2	"X"	2019	"R"	0	"L"	0.066	0.06
"Hunter Dozier"	-0.0174	1.7293	"SI"	NA	"foul"	-25	86.1	NA	NA	3	2	"S"	2019	"R"	NA	"L"	NA	NA
"Hunter Dozier"	-1.6769	0.5927	"SL"	NA	"blocked_ball"	NA	NA	NA	NA	2	2	"B"	2019	"R"	NA	"L"	NA	NA
"Hunter Dozier"	-0.6593	1.2765	"SL"	NA	"swinging_strike"	NA	NA	NA	NA	2	1	"S"	2019	"R"	NA	"L"	NA	NA
"Hunter Dozier"	-1.3184	1.9001	"SI"	NA	"ball"	NA	NA	NA	NA	1	1	"B"	2019	"R"	NA	"L"	NA	NA
"Hunter Dozier"	0.0656	1.5324	"SL"	NA	"called_strike"	NA	NA	NA	NA	1	0	"S"	2019	"R"	NA	"L"	NA	NA
"Hunter Dozier"	2.4379	2.6973	"CU"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"L"	NA	NA
"Joe Panik"	-0.1603	1.3328	"SL"	"single"	"hit_into_play_score"	22	73.9	148.68	100.86	1	2	"X"	2019	"L"	0.9	"L"	0.955	0.864
"Joe Panik"	-0.2398	2.3215	"FT"	NA	"called_strike"	NA	NA	NA	NA	1	1	"S"	2019	"L"	NA	"L"	NA	NA
"Joe Panik"	-1.7576	1.4773	"FF"	NA	"ball"	NA	NA	NA	NA	0	1	"B"	2019	"L"	NA	"L"	NA	NA
"Joe Panik"	-0.3261	2.2846	"FT"	NA	"called_strike"	NA	NA	NA	NA	0	0	"S"	2019	"L"	NA	"L"	NA	NA
"Nolan Arenado"	0.538	2.2118	"FF"	"single"	"hit_into_play_no_out"	10	86.6	76.91	109.51	0	0	"X"	2019	"R"	0.9	"R"	0.64	0.595
"Lorenzo Cain"	0.0723	1.9337	"SI"	"force_out"	"hit_into_play"	-24	92.2	105.37	156.69	1	0	"X"	2019	"R"	0	"R"	0.126	0.113
"Lorenzo Cain"	0.4206	0.8434	"SL"	NA	"blocked_ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"R"	NA	NA
"Matt Chapman"	0.3948	2.2413	"CU"	"single"	"hit_into_play_no_out"	-19	93.6	115.15	175.21	1	0	"X"	2019	"R"	0.9	"R"	0.147	0.113
"Matt Chapman"	-0.9357	2.9699	"CU"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"R"	NA	NA
"Buster Posey"	-0.4922	0.9608	"FF"	"walk"	"ball"	NA	NA	NA	NA	3	0	"B"	2019	"R"	0.7	"R"	NA	NA
"Buster Posey"	2.3062	2.253	"FF"	NA	"ball"	NA	NA	NA	NA	2	0	"B"	2019	"R"	NA	"R"	NA	NA
"Buster Posey"	1.0492	4.2923	"FF"	NA	"ball"	NA	NA	NA	NA	1	0	"B"	2019	"R"	NA	"R"	NA	NA
"Buster Posey"	1.5319	2.7311	"FF"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"R"	NA	NA
